Results : 
0 : true
1 : true
2 : true
3 : true
4 : true
5 : false
6 : true
7 : true
8 : false
9 : true
10 : true
11 : true
12 : true
13 : true
14 : false
15 : false
16 : false
17 : false
18 : true
19 : false
20 : false
21 : true
22 : true
23 : true
24 : false
25 : true
26 : true
27 : true
28 : true
29 : true
30 : true
31 : true
32 : true
33 : true
34 : true
35 : true
36 : true
37 : true
38 : true
39 : true
40 : true
41 : true
42 : true
43 : true
44 : true
45 : true
46 : true
47 : true
48 : true
49 : true
50 : true
51 : true
Coverage : 43 / 52, 82.69231 %
