Results : 
0 : true
1 : false
2 : true
3 : true
4 : true
5 : true
6 : true
7 : true
8 : true
9 : true
10 : true
11 : false
12 : false
13 : false
14 : false
15 : false
16 : false
17 : false
18 : false
19 : false
20 : false
21 : false
22 : false
23 : false
24 : false
25 : false
26 : false
27 : false
28 : false
29 : true
30 : true
31 : true
32 : false
33 : true
34 : false
35 : true
36 : false
37 : true
38 : false
39 : true
40 : false
41 : true
42 : true
43 : true
44 : false
45 : true
46 : true
47 : true
48 : true
49 : true
50 : true
51 : true
52 : true
53 : false
54 : true
55 : false
56 : true
57 : true
58 : false
59 : true
60 : true
61 : true
62 : true
63 : true
64 : true
65 : false
66 : true
67 : true
68 : false
69 : false
70 : false
71 : false
72 : false
73 : false
74 : false
75 : false
76 : false
77 : false
78 : true
Coverage : 40 / 79, 50.63291 %
