Results : 
0 : true
1 : true
2 : true
3 : true
4 : false
5 : true
6 : true
7 : false
8 : true
9 : false
10 : true
11 : true
12 : true
13 : false
14 : true
15 : false
16 : true
17 : false
18 : true
19 : true
20 : true
21 : false
22 : false
23 : true
24 : false
25 : true
26 : false
27 : true
28 : true
29 : false
30 : true
31 : true
32 : true
33 : false
34 : true
35 : true
36 : false
37 : true
38 : false
39 : true
40 : false
41 : false
42 : true
43 : false
44 : true
45 : true
46 : true
47 : true
48 : true
Coverage : 32 / 49, 65.30612 %
